custno,prodcat1
27939,5
48358,5
30497,5
10702,3
10702,7
114,5
25057,3
25057,7
10885,2
2624,2
36208,1
5819,3
10546,2
45925,2
5844,1
27927,5
24105,4
7448,4
41908,1
13605,2
54341,5
6367,5
1401,1
53011,2
54181,4
7970,2
55649,1
22880,2
19667,4
50077,2
9530,3
711,2
49775,2
2302,2
297,3
297,7
31140,2
15702,5
56414,1
2329,4
6881,7
38444,1
43926,3
43926,7
5925,3
428,7
6959,3
1680,3
1937,7
29150,5
16184,2
27952,5
510,7
47028,2
9295,3
9295,7
27964,5
5145,7
38446,1
28414,2
631,3
12905,2
55475,1
4998,2
55555,1
64668,4
41803,1
22265,2
27821,2
261,3
390,7
18768,2
7527,3
7527,7
17012,2
29082,5
23390,2
36543,2
50170,1
42719,2
14284,2
7879,2
52293,1
3468,2
12233,3
19738,2
27925,5
3804,3
3804,7
15806,2
906,3
65816,2
207,5
404,3
404,7
18336,5
67918,2
41927,2
51415,1
7072,4
459,7
15549,3
15549,7
17221,2
1311,3
27934,5
10952,1
27959,5
67699,2
55325,5
31646,2
48194,5
1600,2
48167,5
34891,4
55280,5
20099,3
13684,3
13684,7
35563,2
55652,1
8138,3
8138,7
20392,5
10152,4
47247,2
353,5
48207,5
1837,3
79,7
244,7
832,3
50913,1
27834,7
11606,4
5309,3
48445,2
4144,3
31824,5
44967,4
7799,3
5268,3
6524,3
6524,7
1548,5
16836,2
16446,2
6971,3
48177,5
16643,3
16643,7
10583,7
169,3
169,7
12320,3
16313,1
4207,3
4207,7
29232,5
3382,2
4179,2
706,3
706,7
839,3
22321,3
22321,7
48206,5
6360,3
5470,2
197,5
2269,7
3385,7
48182,5
55651,1
27180,4
30989,5
27856,1
12552,1
26185,1
5545,2
51749,1
38,2
2804,2
20017,5
60328,2
11453,3
11453,7
3563,2
14478,1
15703,5
20740,4
1170,3
1397,2
20518,2
7692,1
47681,5
16463,2
56405,1
18567,3
18567,7
40414,4
19869,2
9162,2
31321,4
2343,2
22053,2
30354,1
2558,3
53432,2
17751,4
34932,1
25647,4
32574,2
27962,5
67642,2
15034,1
18782,1
34638,1
9203,4
20976,2
8447,1
70971,2
22269,2
107,3
107,7
27945,5
31599,7
43796,4
43626,1
35550,2
42896,1
1623,7
9543,3
71094,5
27947,5
28416,5
31378,2
21733,2
55106,1
51305,1
59843,5
24501,2
49525,1
17324,2
3146,3
3146,7
19471,1
71097,5
47680,5
3478,3
3478,7
38606,2
27961,4
7520,2
17169,4
5563,1
15252,1
4268,3
44966,2
30904,2
42973,5
43017,1
13031,2
43465,2
15761,1
9472,3
9472,7
5515,2
6030,3
12378,1
30417,1
13649,4
49384,2
7532,3
7532,7
71096,5
30362,5
14265,2
2784,3
14536,2
9850,2
2730,3
2730,7
12677,5
10289,2
2753,3
1737,7
20597,2
34088,5
10904,2
25361,1
34931,1
6571,7
735,5
55813,2
10656,1
48837,4
16799,1
5756,3
42895,1
13364,1
25041,1
27700,7
18575,7
15100,1
13784,1
2317,3
2317,7
1458,2
65243,1
14635,4
13335,4
34509,2
47149,4
34404,1
35530,2
8820,1
11751,3
35524,2
55443,5
54963,1
24296,2
31865,5
61006,2
27746,2
7197,2
8488,2
5525,4
13416,3
13416,7
24695,2
1658,2
87,3
2964,2
54960,1
257,7
2144,3
2144,7
8855,1
11772,7
27931,5
20745,2
4610,3
4610,7
18923,5
50554,2
34849,4
58888,1
1719,2
56416,1
61418,2
11206,3
11206,7
27932,5
12386,2
325,1
61290,2
31799,3
31799,7
22755,1
27843,1
3300,2
43500,1
15147,1
38790,2
53139,1
18286,2
16805,1
43014,1
43603,2
4395,3
4395,7
21590,2
165,3
165,7
6830,2
58127,1
9327,3
9327,7
26404,2
23959,2
55296,7
984,3
984,7
965,7
27749,3
60808,5
12676,5
27954,5
5494,7
32425,4
16790,3
14303,3
14303,7
8877,1
21933,1
8144,3
8144,7
5889,7
12190,3
12190,7
59842,5
11066,2
152,3
10011,2
40469,2
47078,2
2874,3
2874,7
1044,1
1725,1
16617,2
2649,3
2649,7
18094,1
29543,3
33051,1
54165,2
1139,2
30811,2
7120,1
6338,1
27955,5
43573,1
52343,4
56371,2
26084,2
31791,5
61131,2
3524,7
17208,2
24,2
21738,2
57101,1
12674,5
70282,5
18690,5
55094,1
2026,7
26045,1
61855,2
7054,1
5073,2
15900,2
27924,5
27933,5
28131,3
28131,7
17350,4
7083,3
29000,5
7514,4
65283,1
17227,2
38766,2
12759,5
14357,2
15852,2
56675,1
28252,4
57498,1
55080,1
49659,4
36210,1
9010,1
66355,1
3841,3
3841,7
5559,3
5559,7
549,3
4233,5
27151,1
35639,1
27951,5
1932,2
35112,2
12898,4
56404,1
55441,5
42989,1
27203,2
6598,4
43501,1
22594,2
18516,2
25077,2
6590,2
8828,2
4621,1
20010,5
20391,5
55906,2
749,2
24195,2
58396,1
10915,2
45042,2
11301,1
31654,2
7029,4
38272,2
27457,2
22650,2
13106,2
12197,3
61383,2
64871,1
48192,5
304,3
26215,1
61884,2
30538,2
29345,2
9329,2
14571,3
14571,7
58118,1
28152,4
38014,1
50918,1
11268,3
52708,1
6632,2
21995,2
13437,2
28328,2
50270,1
64602,1
20027,5
30302,1
30351,1
5924,3
5924,7
17829,3
17829,7
55645,1
48201,5
17037,2
1702,2
40078,1
33226,2
45002,4
57083,2
19221,2
23835,2
525,4
49443,2
6497,2
42606,1
37997,1
28082,1
35637,1
279,3
27551,7
20461,1
50881,3
50881,7
13060,1
55085,1
18921,5
48260,2
27920,5
7207,1
22770,2
34664,2
3373,4
39995,2
10957,1
23839,1
127,7
4540,3
27923,5
27960,5
14188,3
14188,7
6304,1
58649,1
34534,4
62042,2
30541,3
5875,2
42305,1
19681,1
22201,2
23467,1
29527,1
18831,1
16814,1
46958,1
45065,1
33593,1
21438,2
20510,2
113,5
16811,1
12764,2
28127,1
836,2
10386,2
43031,5
43771,2
43424,5
57846,1
27812,1
4247,3
4247,7
55089,1
23947,2
72,5
24104,2
39497,3
39497,7
11008,2
11777,2
42865,2
23434,2
48815,4
406,3
10684,2
33228,4
3777,3
21535,2
34865,4
43012,1
27337,1
27942,5
35134,2
382,3
382,7
52164,2
44952,2
1612,3
11243,1
51205,1
31823,5
32299,1
34,2
63700,2
21066,2
48442,5
38850,2
39335,2
49654,2
22333,1
23980,1
398,2
171,3
171,7
10318,2
55496,2
35166,2
14943,2
9861,2
12371,2
63645,2
11514,4
28164,2
58532,1
26563,5
23044,1
16488,2
6802,4
24294,1
66337,1
49138,1
51068,2
27137,2
60210,1
5305,1
10974,2
48204,5
4021,1
6399,3
6399,7
38255,4
163,3
66388,1
48174,5
23459,1
40582,1
15432,1
32878,2
66392,1
66350,1
23723,2
66379,1
30978,2
66382,1
10688,1
22008,3
22008,7
5303,1
23874,2
39549,2
24190,2
66330,1
11377,2
49240,1
39344,2
10787,2
11151,2
37196,1
55276,5
51817,2
21154,1
4452,2
17968,1
15354,4
28366,2
48373,7
19441,1
36584,2
60223,2
25047,1
36618,2
27653,2
34606,2
70086,4
55244,3
55244,7
39277,1
56660,1
14513,2
26190,1
35600,3
35600,7
22267,2
7074,3
7074,7
24277,2
32391,1
9646,2
61763,2
10699,2
4402,7
36251,4
15397,2
46763,4
15722,4
50842,2
22311,2
14097,4
18737,1
13284,3
13284,7
55856,2
12029,4
55464,1
3295,3
3295,7
22738,2
41017,1
28681,4
41015,1
55103,1
10108,2
30298,1
2208,1
16416,2
7818,3
7818,7
30175,3
30175,7
27842,1
1863,1
15095,4
14365,2
20638,2
7035,2
5776,1
55653,1
9626,2
25923,3
25923,7
50135,1
33164,1
38928,4
26010,2
59724,1
15903,2
6469,2
2225,1
15474,2
25238,3
25238,7
11306,2
670,1
5408,1
13272,2
24144,2
27938,5
35501,3
35501,7
40579,1
16221,2
66344,1
66328,1
14659,2
5738,3
5738,7
27930,5
5917,2
35510,3
35510,7
66335,1
22527,3
22527,7
66315,1
66338,1
66347,1
20647,1
55111,1
66352,1
6980,1
654,1
66320,1
18895,2
42987,1
5550,3
5550,7
7770,1
675,1
7642,1
57636,1
66345,1
2824,1
8264,2
11463,4
61894,2
66384,1
30373,2
11624,1
20012,5
9714,1
2234,2
14196,2
22212,2
20515,2
7826,2
17993,1
642,1
18656,3
18656,7
2227,1
6389,2
55643,1
22654,3
22654,7
46535,1
9704,1
29237,2
9501,3
9501,7
58134,1
11394,4
52329,1
14612,2
19608,1
13032,2
65233,4
522,3
64616,1
55644,1
49227,3
49227,7
4616,3
669,1
9685,1
28369,2
3926,1
49360,2
12545,1
56674,1
1253,1
9372,2
13933,1
21837,4
40545,1
27267,2
4473,4
16043,1
8824,4
41303,1
22683,2
36204,1
2821,1
51006,1
37954,1
26247,1
17392,2
25417,2
30170,2
6268,2
1339,1
14443,1
27737,2
40563,1
33290,2
26066,2
7906,2
1142,2
40578,1
42073,2
20953,2
41097,1
6457,2
27633,1
4943,1
22319,4
62061,2
9458,3
14573,1
298,7
36045,1
9901,2
25570,1
48205,5
42988,1
1822,7
37197,1
21063,1
53771,2
11590,2
4548,2
36031,4
27819,3
27819,7
8630,2
6906,2
25059,2
36936,2
58515,1
10341,2
18350,1
3069,1
29233,5
8713,2
34982,4
24534,3
24534,7
26103,1
55120,1
27956,5
10472,1
24544,3
24544,7
5499,1
33669,1
15976,3
